outlet,article_id,entity_type,sentence
cnn,cnn_10_may25,shooter,"Nineteen children and two adults were on the brink of celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two adults's lives and devastating a nation."
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults."
cnn,cnn_18_may25,victim,"The National Rifle Association's annual meeting was canceled in 2020 and 2021 due to the coronavirus pandemic, but this year The National Rifle Association is moving ahead with The National Rifle Association's plans, holding its 2022 annual meeting at a time when both gun rights and the organization The National Rifle Association have come under intense scrutiny, especially after a shooting at an elementary school in Uvalde, Texas, left 21 dead."
cnn,cnn_3_may24,victim,"An 18-year-old man is also dead, Gov. Greg Abbott said."
cnn,cnn_3_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at an elementary school in Uvalde, Texas, at 12:17 p.m. Tuesday local time and said law enforcement was on site."
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political."
cnn,cnn_7_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy."
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States."
cnn,cnn_2_may24,shooter,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said."
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said."
cnn,cnn_2_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at Robb Elementary School at 12:17 p.m. Tuesday local time and said law enforcement was on site."
cnn,cnn_2_may24,shooter,"A suspect was taken into custody, according to the Uvalde Police Department."
cnn,cnn_9_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy."
