outlet,article_id,entity_type,sentence,phrase
cnn,cnn_10_may25,shooter,"Nineteen children and two adults were on the brink of celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two adults's lives and devastating a nation.",gunman
cnn,cnn_10_may25,shooter,"Nineteen children and two adults were on the brink of celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two adults's lives and devastating a nation.",opened fire
cnn,cnn_10_may25,shooter,"Nineteen children and two adults were on the brink of celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two adults's lives and devastating a nation.",stealing lives
cnn,cnn_10_may25,shooter,"Nineteen children and two adults were on the brink of celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two adults's lives and devastating a nation.",devastating a nation
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",Deadly shooting
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",Texas elementary school
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",grim task
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",providing DNA swabs
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",help investigators
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",Nineteen children
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",two adults
cnn,cnn_18_may25,victim,"The National Rifle Association's annual meeting was canceled in 2020 and 2021 due to the coronavirus pandemic, but this year The National Rifle Association is moving ahead with The National Rifle Association's plans, holding its 2022 annual meeting at a time when both gun rights and the organization The National Rifle Association have come under intense scrutiny, especially after a shooting at an elementary school in Uvalde, Texas, left 21 dead.",intense scrutiny
cnn,cnn_18_may25,victim,"The National Rifle Association's annual meeting was canceled in 2020 and 2021 due to the coronavirus pandemic, but this year The National Rifle Association is moving ahead with The National Rifle Association's plans, holding its 2022 annual meeting at a time when both gun rights and the organization The National Rifle Association have come under intense scrutiny, especially after a shooting at an elementary school in Uvalde, Texas, left 21 dead.",shooting at an elementary school
cnn,cnn_18_may25,victim,"The National Rifle Association's annual meeting was canceled in 2020 and 2021 due to the coronavirus pandemic, but this year The National Rifle Association is moving ahead with The National Rifle Association's plans, holding its 2022 annual meeting at a time when both gun rights and the organization The National Rifle Association have come under intense scrutiny, especially after a shooting at an elementary school in Uvalde, Texas, left 21 dead.",21 dead
cnn,cnn_3_may24,victim,"An 18-year-old man is also dead, Gov. Greg Abbott said.",18-year-old man
cnn,cnn_3_may24,victim,"An 18-year-old man is also dead, Gov. Greg Abbott said.",also dead
cnn,cnn_3_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at an elementary school in Uvalde, Texas, at 12:17 p.m. Tuesday local time and said law enforcement was on site.",active shooter
cnn,cnn_3_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at an elementary school in Uvalde, Texas, at 12:17 p.m. Tuesday local time and said law enforcement was on site.",elementary school
cnn,cnn_3_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at an elementary school in Uvalde, Texas, at 12:17 p.m. Tuesday local time and said law enforcement was on site.",law enforcement
cnn,cnn_3_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at an elementary school in Uvalde, Texas, at 12:17 p.m. Tuesday local time and said law enforcement was on site.",on site
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",Democrat Beto O'Rourke
