outlet,article_id,entity_type,sentence,phrase,cluster_id
cnn,cnn_10_may25,shooter,"Nineteen children and two adults were on the brink of celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two adults's lives and devastating a nation.",gunman,0
cnn,cnn_10_may25,shooter,"Nineteen children and two adults were on the brink of celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two adults's lives and devastating a nation.",opened fire,0
cnn,cnn_10_may25,shooter,"Nineteen children and two adults were on the brink of celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two adults's lives and devastating a nation.",stealing lives,0
cnn,cnn_10_may25,shooter,"Nineteen children and two adults were on the brink of celebrating the end of the school year at Robb Elementary School when a gunman came in and opened fire, stealing Nineteen children and two adults's lives and devastating a nation.",devastating a nation,0
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",Deadly shooting,0
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",Texas elementary school,0
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",grim task,-1
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",providing DNA swabs,-1
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",help investigators,0
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",Nineteen children,0
cnn,cnn_10_may25,victim,"LIVE UPDATES: Deadly shooting at Texas elementary school

Relatives embarked on the grim task of providing DNA swabs to help investigators determine whether Relatives's family member was among Nineteen children and two adults.",two adults,0
cnn,cnn_18_may25,victim,"The National Rifle Association's annual meeting was canceled in 2020 and 2021 due to the coronavirus pandemic, but this year The National Rifle Association is moving ahead with The National Rifle Association's plans, holding its 2022 annual meeting at a time when both gun rights and the organization The National Rifle Association have come under intense scrutiny, especially after a shooting at an elementary school in Uvalde, Texas, left 21 dead.",intense scrutiny,0
cnn,cnn_18_may25,victim,"The National Rifle Association's annual meeting was canceled in 2020 and 2021 due to the coronavirus pandemic, but this year The National Rifle Association is moving ahead with The National Rifle Association's plans, holding its 2022 annual meeting at a time when both gun rights and the organization The National Rifle Association have come under intense scrutiny, especially after a shooting at an elementary school in Uvalde, Texas, left 21 dead.",shooting at an elementary school,0
cnn,cnn_18_may25,victim,"The National Rifle Association's annual meeting was canceled in 2020 and 2021 due to the coronavirus pandemic, but this year The National Rifle Association is moving ahead with The National Rifle Association's plans, holding its 2022 annual meeting at a time when both gun rights and the organization The National Rifle Association have come under intense scrutiny, especially after a shooting at an elementary school in Uvalde, Texas, left 21 dead.",21 dead,0
cnn,cnn_3_may24,victim,"An 18-year-old man is also dead, Gov. Greg Abbott said.",18-year-old man,0
cnn,cnn_3_may24,victim,"An 18-year-old man is also dead, Gov. Greg Abbott said.",also dead,0
cnn,cnn_3_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at an elementary school in Uvalde, Texas, at 12:17 p.m. Tuesday local time and said law enforcement was on site.",active shooter,0
cnn,cnn_3_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at an elementary school in Uvalde, Texas, at 12:17 p.m. Tuesday local time and said law enforcement was on site.",elementary school,0
cnn,cnn_3_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at an elementary school in Uvalde, Texas, at 12:17 p.m. Tuesday local time and said law enforcement was on site.",law enforcement,0
cnn,cnn_3_may24,shooter,"The Uvalde Consolidated Independent School District (UCISD) said there was an ""active shooter"" at an elementary school in Uvalde, Texas, at 12:17 p.m. Tuesday local time and said law enforcement was on site.",on site,0
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",Democrat Beto O'Rourke,-1
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",Texas Republican Gov. Greg Abbott,0
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",press conference,-1
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",mass school shooting,0
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",19 children dead,0
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",two adults dead,0
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",shouted down,0
cnn,cnn_21_may25,victim,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, Democrat Beto O'Rourke was shouted down for making a mass school shooting that left 19 children and two adults dead political.",making it political,1
cnn,cnn_7_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",19 children dead,0
cnn,cnn_7_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",two adults dead,0
cnn,cnn_7_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",Texas elementary school,0
cnn,cnn_7_may25,victim,"Tuesday's's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.",uniquely American tragedy,0
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",19 children dead,0
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",two adults dead,0
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",Texas elementary school,0
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",shooting,0
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",gun violence,0
cnn,cnn_7_may25,victim,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead is the latest entry in the long history of gun violence in the United States.",latest entry,-1
cnn,cnn_2_may24,shooter,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",suspect in custody,0
cnn,cnn_2_may24,shooter,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",shooting at an elementary school,0
cnn,cnn_2_may24,shooter,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",two people dead,0
cnn,cnn_2_may24,shooter,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",injured more than a dozen others,0
cnn,cnn_2_may24,shooter,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",including students,0
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",in custody,0
cnn,cnn_2_may24,victim,"A suspect is in custody after a shooting at an elementary school in Uvalde, Texas, left Two people dead and injured more than a dozen others, including students, authorities said.",a shooting,0
